glm-5,Z.ai GLM-5,Z.ai,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,1,1,1,1,1,1,1,0,,,,MIT noted in seed,seed row from project atlas note; source verify architecture and license,TODO_VERIFY,1,0,0,0,0,,,,open/local seed conditional on hardware and license
deepseek-v3,DeepSeek V3,DeepSeek,moe_transformer,open_weight_local,possible_but_hardware_heavy,1,0,0,0,0,1,1,1,1,1,1,0,,,,,seed row from project atlas note; source verify public MoE metadata,TODO_VERIFY,0,1,0,0,0,,,,open MoE seed hardware-heavy
deepseek-r1,DeepSeek R1,DeepSeek,decoder_only_transformer,open_weight_local,possible_but_hardware_heavy,1,0,0,0,0,1,1,1,1,1,1,0,,,,,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open reasoning seed hardware-heavy
qwen3-235b-a22b,Qwen3-235B-A22B,Alibaba/Qwen,moe_transformer,open_weight_local,possible_but_hardware_heavy,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,1,0,0,0,,,,open MoE seed hardware-heavy
qwen3-8b,Qwen3-8B,Alibaba/Qwen,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open dense seed
qwen-scope-sae,Qwen-Scope SAE artifacts,Alibaba/Qwen researchers,sparse_autoencoder_feature_space,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,1,,,,,seed row from project atlas note; artifact source verify required,TODO_VERIFY,0,0,0,0,0,,,,SAE feature-space seed
llama-4-scout,Llama 4 Scout,Meta,moe_transformer,open_weight_local,possible_but_hardware_heavy,1,1,0,0,0,1,0,1,1,1,1,0,,,,Llama license in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,1,1,0,0,,,,multimodal open MoE seed
llama-3-1-8b,Llama 3.1 8B,Meta,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,128000,,,Llama license in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open dense seed
llama-guard-family,Llama Guard family,Meta,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Llama license in seed,seed row from project atlas note; safety classifier family,TODO_VERIFY,1,0,0,0,0,,,,safety classifier seed
mistral-small-4,Mistral Small 4,Mistral AI,multimodal_transformer,open_weight_api,internal_mechanistic_possible,1,1,0,0,0,1,1,1,1,1,1,0,256000,,,Apache 2.0 in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,1,0,0,,,,multimodal open/API seed
mixtral-8x7b,Mixtral 8x7B,Mistral AI,moe_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache-style open release in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,1,0,0,0,,,,open MoE seed
mistral-7b,Mistral 7B,Mistral AI,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,research/open seed
gemma-3-1b,Gemma 3 1B,Google DeepMind,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,128000,,,Gemma terms in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,small/open seed
gemma-3-27b,Gemma 3 27B,Google DeepMind,multimodal_transformer,open_weight_local,internal_mechanistic_possible,1,1,0,0,0,1,0,1,1,1,1,0,128000,,,Gemma terms in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,1,0,0,,,,multimodal open seed
phi-4,Microsoft Phi-4,Microsoft,decoder_only_transformer,open_weight_local,internal_mechanistic_possible,1,0,0,0,0,1,0,1,1,1,1,0,,,,,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,open dense seed
phi-4-multimodal-instruct,Phi-4-multimodal-instruct,Microsoft,multimodal_transformer,open_weight_local,internal_mechanistic_possible,1,1,1,0,0,1,0,1,1,1,1,0,128000,,,,seed row from project atlas note; source verify before publication,TODO_VERIFY,0,0,1,0,0,,,,multimodal open seed
pythia-12b,Pythia-12B,EleutherAI,decoder_only_transformer,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,research-control seed
pythia-6-9b,Pythia-6.9B,EleutherAI,decoder_only_transformer,research_control_suite,unusually_good_for_mechanistic_research,1,0,0,0,0,1,0,1,1,1,1,0,,,,Apache 2.0 family in seed,seed row from project atlas note; source verify before publication,TODO_VERIFY,1,0,0,0,0,,,,research-control seed
